Company,Global,Founded,WorkHourBalance,LastQuarterProfit,YearlyProfit,FiveYearProfit,MonthlyExpenses
Realfire,true,01/21/1999,-45,-25407,938964823,-7146867507352490820,23263.38
Quimba,false,06/22/2001,-7,-8397,-86773261,558492064072617969,3485.37
Zoomcast,false,03/19/2004,68,-13198,543586496,-7013823988462763315,48996.66
Skalith,true,04/30/1998,-40,4339,-845067122,3689193739579578209,26787.53
Devify,true,03/13/2008,47,180,440194443,-7325036266891942001,96435.2
Rhynyx,true,10/21/2001,21,-8757,-1083119877,3181443515619814803,95687.84
Jetwire,false,08/22/2004,-59,9569,1762865427,-1772539467196410646,55807.22
Tagopia,true,06/11/2009,-3,13725,326548443,1907077886666952642,61956.28
Meezzy,true,10/07/2008,57,7648,-1980822256,-857566572252877638,9260.73
Avamba,true,11/22/2002,-70,-664,1349625863,3964303391251800775,53606.79
Yakitri,false,07/20/1993,26,-7854,-267099947,2790874431364908525,50672.28
InnoZ,true,12/07/1991,-9,31164,1165690696,-6114861726299171427,31240.19
Chatterpoint,true,05/26/2010,91,20811,-344324044,-3270062408136595758,34236.76
Flashdog,true,09/22/2007,-23,8431,230957959,-552962740772530773,32670.68
Flashdog,true,12/04/1992,-76,26438,-976754554,6595248766873815073,21514.04
Linktype,false,10/09/2008,-65,-6269,1928949578,2014308096030283204,1596.35
Youspan,true,05/17/1991,21,25378,-1360144047,-3654666194034291114,89056.41
Cogilith,true,10/14/2001,-113,-29157,-214660537,1955155100816455105,26655.95
Riffwire,false,02/28/2011,-103,16682,1669303429,-3288768125575726354,17887.73
Brainbox,true,08/25/1997,-72,29504,-2097581364,384629545754449698,45453.68
Wikivu,true,10/27/2003,-119,23924,1088135657,-6302678568189937747,81334.4
Dynazzy,false,07/18/1995,-123,20182,1948665798,-6082746736685284325,64383.62
Skajo,false,09/22/1995,-2,-466,-179178924,2200173995217825254,68239.41
DabZ,true,12/29/1993,38,9083,19771708,-69965250764351725,79510.87
Tanoodle,true,08/15/2001,113,-995,-1429677748,-1871102790404049647,14668.71
Gevee,true,06/28/2000,75,27374,-344909133,-5066381751710998682,94515.63
Skalith,true,02/10/2007,-89,-28320,-664068365,2151496715194291168,89400.0
Youfeed,false,08/27/2011,-73,9265,-2139505645,1078075746585706071,94687.97
